Institution_ID,Institution,Abbrev,Type,Public,Flagship,URL,Location_ID,Land_Grant,Sea_Grant,Space_Grant,Sun_Grant
40,University of Illinois at Springfield,UISYS-UIS,Regional University,Yes,No,http://www.uis.edu/,US-IL-SPI,No,No,No,No
41,University of the West Indies,UWIND,Regional University,Yes,No,http://www.uwi.edu/,JM-02-MON,No,No,No,No
42,University of South Florida,SUNISYSFL-USF,Regional University,Yes,No,http://www.usf.edu/,US-FL-TPA,No,No,No,No
43,Florida State University,SUNISYSFL-FSU,National University,Yes,No,http://www.fsu.edu/,US-FL-TLH,No,Yes,No,No
44,Florida International University,SUNISYSFL-FIU,National University,Yes,No,http://www.fiu.edu/,US-FL-MIA,No,No,No,No
45,University of Florida,SUNISYSFL-UF,National University,Yes,No,http://www.ufl.edu/,US-FL-GNV,Yes,Yes,No,No
46,University of West Florida,SUNISYSFL-UWF,National University,Yes,No,http://www.uwf.edu/,US-FL-PNS,No,No,No,No
47,Florida Atlantic University,SUNISYSFL-FAU,National University,Yes,No,http://www.fau.edu/,US-FL-BCT,No,No,No,No
48,Mississippi College,MISSCOL,Regional University,No,No,http://www.mc.edu/,US-MS-CKC,No,No,No,No
49,University of West Georgia,UNISYSGA-UWG,Regional University,Yes,No,http://www.westga.edu/,US-GA-CRR,No,No,No,No
50,Georgia Institute of Technology,UNISYSGA-GIT,National University,Yes,No,http://www.gatech.edu/,US-GA-ATL,No,No,Yes,No
51,University of Georgia,UNISYSGA-UGA,National University,Yes,Yes,http://www.uga.edu/,US-GA-AHN,Yes,Yes,No,No
52,University of Rochester,UNIROCH,National University,No,No,https://www.rochester.edu/,US-NY-ROC,No,No,No,No
53,Western University of Health Sciences,WUHS,Medical,No,No,http://www.westernu.edu/,US-CA-PQC,No,No,No,No
54,Regis University,REGUSU,Regional University,No,No,http://www.regis.edu/,US-CO-DEN,No,No,No,No
55,Edward Via College of Osteopathic Medicine,EVCOMED,Medical,No,No,http://www.vcom.edu/,US-VA-BCB,No,No,No,No
56,University of Colorado at Denver,UCSYS-UCD,National University,Yes,No,http://www.ucdenver.edu/,US-CO-DEN,No,No,No,No
57,University of Colorado at Boulder,UCSYS-UCB,National University,Yes,Yes,http://www.colorado.edu/,US-CO-WBU,No,No,Yes,No
58,University of Colorado at Colorado Springs,UCSYS-UCCS,Regional University,Yes,No,http://www.uccs.edu/,US-CO-COS,No,No,No,No
59,Case Western Reserve University,CWRU,National University,No,No,http://www.case.edu/,US-OH-CLE,No,No,No,No
60,Murray State University,MURRAY,Regional University,Yes,No,http://www.murraystate.edu/,US-KY-CEY,No,No,No,No
